question_id,dandi_id,version,asset_path,time_window,unit_subset,notes
C3-Q01,000458,0.230317.0039,sub-521885/sub-521885_ses-20200709_behavior+ecephys.nwb,600-630,,awake window
C3-Q02,000458,0.230317.0039,sub-521885/sub-521885_ses-20200709_behavior+ecephys.nwb,1900-1930,,isoflurane_anesthesia window
C3-Q03,000458,0.230317.0039,sub-521886/sub-521886_ses-20200716_behavior+ecephys.nwb,800-830,,awake window
C3-Q04,000458,0.230317.0039,sub-551399/sub-551399_ses-20210128_behavior+ecephys.nwb,2210-2240,,isoflurane_anesthesia window (delta-dominant)
C3-Q05,000458,0.230317.0039,sub-521887/sub-521887_ses-20200730_behavior+ecephys.nwb,500-530,,awake window
C3-Q06,000458,0.230317.0039,sub-521887/sub-521887_ses-20200730_behavior+ecephys.nwb,1581-1611,,isoflurane_anesthesia window (delta-dominant)
C3-Q07,000458,0.230317.0039,sub-543393/sub-543393_ses-20200820_behavior+ecephys.nwb,900-930,,awake window
C3-Q08,000458,0.230317.0039,sub-551397/sub-551397_ses-20210211_behavior+ecephys.nwb,4335-4365,,isoflurane_anesthesia window (delta-dominant)
C3-Q09,000458,0.230317.0039,sub-543393/sub-543393_ses-20200820_behavior+ecephys.nwb,full,,induction-onset detection (full session)
C3-Q10,000458,0.230317.0039,sub-546655/sub-546655_ses-20201023_behavior+ecephys.nwb,3502-3532,,"multi-part: state + dominant band"
C3-Q11,000458,0.230317.0039,sub-569062/sub-569062_ses-20210218_behavior+ecephys.nwb,2223.5-2253.5,,awake window
C3-Q12,000458,0.230317.0039,sub-569064/sub-569064_ses-20210408_behavior+ecephys.nwb,2246.5-2276.5,,awake window
C3-Q13,000458,0.230317.0039,sub-569068/sub-569068_ses-20210304_behavior+ecephys.nwb,2140.3-2170.3,,awake window
C3-Q14,000458,0.230317.0039,sub-569069/sub-569069_ses-20210312_behavior+ecephys.nwb,2111.0-2141.0,,awake window
C3-Q15,000458,0.230317.0039,sub-569072/sub-569072_ses-20210422_behavior+ecephys.nwb,2202.0-2232.0,,awake window
C3-Q16,000458,0.230317.0039,sub-575102/sub-575102_ses-20210603_behavior+ecephys.nwb,2290.5-2320.5,,awake window
C3-Q17,000458,0.230317.0039,sub-571619/sub-571619_ses-20210319_behavior+ecephys.nwb,4406.7-4436.7,,isoflurane_anesthesia window
C3-Q18,000458,0.230317.0039,sub-571620/sub-571620_ses-20210513_behavior+ecephys.nwb,4817.5-4847.5,,isoflurane_anesthesia window
C3-Q19,000458,0.230317.0039,sub-586466/sub-586466_ses-20210729_behavior+ecephys.nwb,4780.1-4810.1,,isoflurane_anesthesia window
C3-Q20,000458,0.230317.0039,sub-586468/sub-586468_ses-20210819_behavior+ecephys.nwb,4645.1-4675.1,,isoflurane_anesthesia window
C3-Q21,000458,0.230317.0039,sub-569072/sub-569072_ses-20210422_behavior+ecephys.nwb,2955.2-2985.2,,isoflurane_anesthesia window
C3-Q22,000458,0.230317.0039,sub-575102/sub-575102_ses-20210603_behavior+ecephys.nwb,3035.7-3065.7,,isoflurane_anesthesia window
